TaskType,PriTaskModality,TargetSize,TargetDestDistance,PathDir,PriTaskElapsed,RotTaskElapsed,NumbWrongDeselection,NumbPathExit,PathFirstSegExit,PathMidSegExit,PathLastSegExit,NumbMismatchRotTask,Time Stamp
2,GazeGesture,big,30.000,down,3.142,2.587,0,1,0,1,0,0,10Sep / 3:28:04 PM
2,GazeGesture,medium,30.000,down,12.145,4.867,0,0,0,0,0,0,10Sep / 3:28:18 PM
2,GazeGesture,medium,20.000,up,11.323,8.305,0,10,3,0,7,2,10Sep / 3:28:31 PM
2,GazeGesture,small,30.000,down,58.567,2.857,0,2,1,1,0,0,10Sep / 3:30:40 PM
2,GazeGesture,big,20.000,up,14.785,42.117,0,12,1,0,11,0,10Sep / 3:37:34 PM
2,GazeGesture,big,20.000,down,1.542,2.546,0,6,0,6,0,0,10Sep / 3:37:39 PM
2,GazeGesture,medium,30.000,down,3.061,3.849,0,3,1,2,0,0,10Sep / 3:37:47 PM
2,GazeGesture,medium,20.000,up,1.403,2.227,0,4,0,4,0,0,10Sep / 3:37:52 PM
2,GazeGesture,medium,20.000,down,1.828,2.764,0,5,0,5,0,0,10Sep / 3:37:58 PM
2,GazeGesture,medium,40.000,up,2.696,1.503,0,0,0,0,0,0,10Sep / 3:38:05 PM
2,GazeGesture,medium,40.000,down,2.963,1.905,0,3,1,2,0,0,10Sep / 3:38:11 PM
2,GazeGesture,medium,30.000,up,1.690,2.461,0,1,0,1,0,0,10Sep / 3:38:16 PM
2,GazeGesture,big,40.000,up,2.471,1.031,0,0,0,0,0,0,10Sep / 3:38:20 PM
2,GazeGesture,big,40.000,down,2.756,5.649,0,3,0,3,0,1,10Sep / 3:38:29 PM
2,GazeGesture,big,30.000,up,3.228,1.903,0,0,0,0,0,0,10Sep / 3:38:37 PM
2,GazeGesture,big,30.000,down,4.604,2.887,0,3,0,3,0,0,10Sep / 3:38:45 PM
2,GazeGesture,small,40.000,up,3.015,26.464,0,6,0,4,2,1,10Sep / 3:39:16 PM
2,GazeGesture,small,40.000,down,4.144,1.762,0,8,2,4,2,0,10Sep / 3:39:24 PM
2,GazeGesture,small,30.000,up,1.592,2.402,0,1,0,1,0,0,10Sep / 3:39:29 PM
2,ControllerClick,big,40.000,up,4.246,4.399,0,3,0,0,3,0,10Sep / 3:42:01 PM
2,ControllerClick,big,40.000,down,1.862,2.043,0,0,0,0,0,0,10Sep / 3:42:06 PM
2,ControllerClick,medium,40.000,up,1.042,1.144,0,0,0,0,0,0,10Sep / 3:42:09 PM
2,ControllerClick,medium,40.000,down,1.499,1.611,0,0,0,0,0,0,10Sep / 3:42:13 PM
2,ControllerClick,medium,30.000,up,3.825,4.620,1,0,0,0,0,0,10Sep / 3:42:42 PM
2,ControllerClick,small,30.000,down,2.639,1.200,0,0,0,0,0,0,10Sep / 3:42:48 PM
2,ControllerClick,small,20.000,up,1.808,0.745,0,1,0,1,0,0,10Sep / 3:42:52 PM
2,ControllerClick,small,20.000,down,1.654,3.683,0,1,1,0,0,0,10Sep / 3:42:58 PM
2,ControllerClick,medium,30.000,down,11.683,11.861,0,7,0,0,7,0,10Sep / 3:43:20 PM
2,ControllerClick,big,40.000,up,13.628,3.876,0,5,0,0,5,6,10Sep / 4:59:30 PM
2,ControllerClick,big,40.000,down,1.533,1.620,0,0,0,0,0,0,10Sep / 4:59:35 PM
2,GazeGesture,medium,30.000,down,4.869,2.530,0,2,0,2,0,0,10Sep / 5:02:31 PM
2,GazeGesture,medium,20.000,up,2.756,1.506,0,0,0,0,0,0,10Sep / 5:02:36 PM
2,GazeGesture,medium,20.000,down,39.159,8.142,3,32,15,15,2,0,10Sep / 5:03:50 PM
2,GazeGesture,big,20.000,up,7.923,6.685,0,6,0,6,0,1,10Sep / 5:04:00 PM
2,GazeGesture,big,20.000,down,1.412,3.697,0,1,0,1,0,0,10Sep / 5:04:06 PM
2,GazeGesture,big,30.000,up,1.734,2.794,0,0,0,0,0,0,10Sep / 5:04:11 PM
2,GazeGesture,big,30.000,down,2.625,3.851,0,0,0,0,0,0,10Sep / 5:05:12 PM
2,GazeGesture,big,40.000,up,33.464,36.347,1,11,7,0,4,1,10Sep / 5:07:02 PM
2,GazeGesture,big,40.000,down,4.029,2.261,0,1,0,1,0,0,10Sep / 5:07:08 PM
2,GazeGesture,medium,40.000,up,1.604,2.268,0,0,0,0,0,0,10Sep / 5:07:13 PM
2,GazeGesture,medium,40.000,down,2.212,3.270,0,2,0,2,0,0,10Sep / 5:07:28 PM
2,GazeGesture,medium,30.000,up,1.623,2.573,0,0,0,0,0,0,10Sep / 5:08:05 PM
2,GazeGesture,small,30.000,down,2.613,3.594,0,1,0,1,0,0,10Sep / 5:08:11 PM
2,GazeGesture,small,20.000,up,1.700,5.311,0,1,1,0,0,0,10Sep / 5:08:20 PM
2,GazeGesture,small,20.000,down,1.451,2.191,0,5,1,0,4,0,10Sep / 5:08:30 PM
2,GazeGesture,small,40.000,up,8.067,10.064,0,7,2,2,3,0,10Sep / 5:08:43 PM
2,GazeGesture,small,40.000,down,2.014,3.285,0,7,1,4,2,0,10Sep / 5:08:50 PM
2,GazeGesture,small,30.000,up,1.604,6.864,0,1,1,0,0,2,10Sep / 5:09:00 PM
2,GazeGesture,medium,40.000,up,6.079,7.870,1,3,1,1,1,0,10Sep / 5:09:11 PM
2,GazeGesture,medium,40.000,down,1.495,4.718,0,2,0,2,0,0,10Sep / 5:09:18 PM
2,GazeGesture,medium,30.000,up,1.655,2.677,0,1,0,1,0,0,10Sep / 5:09:24 PM
2,GazeGesture,small,40.000,up,1.395,3.379,0,1,1,0,0,0,10Sep / 5:09:30 PM
2,GazeGesture,small,40.000,down,1.655,3.570,0,2,1,0,1,0,10Sep / 5:09:41 PM
2,GazeGesture,small,30.000,up,9.058,2.609,0,7,1,0,6,1,10Sep / 5:09:53 PM
2,GazeGesture,big,40.000,up,1.679,2.810,0,1,0,1,0,0,10Sep / 5:09:58 PM
2,GazeGesture,big,40.000,down,1.244,2.586,0,1,1,0,0,0,10Sep / 5:10:03 PM
